Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Oman,OMN,"Population, total",SP.POP.TOTL,551735,564891,578827,593498,608890,625006,642007,660117,679592,700725,723842,748968,776385,806985,841952,882038,927434,977804,1032797,1091858,1154373,1220578,1290121,1361085,1431066,1498413,1561180,1619871,1678119,1741155,1812158,1893761,1983272,2072106,2148416,2204267,2236652,2249759,2251859,2254898,2267973,2294959,2334860,2386164,2445524,2511254,2580753,2657162,2750956,2876186,3041435,3251102,3498031,3764805,4027255,4267341,4479217,4665926,4829476,4974992,5106622
Syrian Arab Republic,SYR,"Population, total",SP.POP.TOTL,4573514,4721893,4875429,5034639,5200341,5373137,5553247,5740702,5935850,6139054,6350544,6570859,6800148,7037860,7283181,7535715,7794658,8060652,8336421,8625693,8930776,9252854,9590226,9938852,10293048,10648633,11004273,11360848,11719064,12080439,12446168,12815400,13187669,13565074,13950486,14345491,14754148,15175308,15599588,16013992,16410847,16766555,17084628,17415214,17827827,18361178,19059257,19878257,20664037,21205873,21362541,21081814,20438861,19578466,18710711,17997411,17465567,17095669,16945062,17070132,17500657
Turkey,TUR,"Population, total",SP.POP.TOTL,27472339,28146909,28832831,29531362,30244258,30972996,31717504,32477994,33256465,34055391,34876296,35720603,36587267,37472329,38370278,39277249,40189561,41108290,42039983,42994043,43975972,44988411,46025411,47073470,48114158,49133928,50128548,51100930,52053764,52992479,53921758,54840595,55748946,56653808,57564209,58486453,59423278,60372571,61329665,62287391,63240196,64192243,65145357,66089402,67010930,67903461,68756809,69581854,70418612,71321406,72326992,73443254,74651046,75925454,77229262,78529413,79827868,81116451,82340090,83429607,84339067
United Arab Emirates,ARE,"Population, total",SP.POP.TOTL,92417,100801,112112,125130,138049,149855,159979,169768,182620,203103,234512,277463,330968,394625,467457,548295,637926,735347,835498,931752,1019507,1096602,1164816,1228457,1293970,1366165,1446386,1533526,1627068,1725676,1828437,1937159,2052892,2173135,2294377,2415099,2539121,2671361,2813214,2966029,3134067,3302722,3478769,3711931,4068577,4588222,5300172,6168846,7089486,7917368,8549998,8946778,9141598,9197908,9214182,9262896,9360975,9487206,9630966,9770526,9890400
Morocco,MAR,"Population, total",SP.POP.TOTL,12328532,12710587,13094890,13478425,13857656,14230163,14595351,14954037,15307267,15656846,16004732,16350883,16696890,17048525,17413149,17796171,18198836,18620087,19059773,19516942,19990006,20479709,20984023,21495088,22002641,22499111,22980334,23447256,23903592,24355624,24807461,25260407,25711410,26155204,26584473,26994255,27383472,27754573,28110447,28455504,28793672,29126323,29454765,29782884,30115196,30455563,30804689,31163670,31536807,31929087,32343384,32781860,33241898,33715705,34192358,34663608,35126274,35581257,36029089,36471766,36910558
Algeria,DZA,"Population, total",SP.POP.TOTL,11057864,11336336,11619828,11912800,12221675,12550880,12902626,13275020,13663581,14061724,14464992,14872253,15285992,15709831,16149018,16607706,17085799,17582899,18102266,18647801,19221659,19824297,20452901,21101875,21763578,22431507,23102386,23774287,24443472,25106192,25758872,26400468,27028330,27635517,28213777,28757788,29266415,29742980,30192750,30623406,31042238,31451513,31855110,32264159,32692153,33149720,33641007,34166976,34730604,35333882,35977451,36661438,37383899,38140135,38923688,39728020,40551398,41389174,42228415,43053054,43851043
Tunisia,TUN,"Population, total",SP.POP.TOTL,4178235,4238141,4305477,4380074,4461111,4547941,4640995,4740526,4845220,4953379,5063805,5176290,5291335,5409338,5530978,5656912,5786482,5919958,6060158,6210756,6374040,6551232,6740520,6937332,7135265,7329590,7517854,7700733,7880333,8060211,8242509,8427851,8613855,8795934,8967916,9125400,9267335,9395119,9509862,9613587,9708347,9793915,9871261,9945282,10022278,10106778,10201211,10304729,10414425,10525691,10635245,10741872,10846993,10952949,11063195,11179951,11303942,11433438,11565203,11694721,11818618
Mauritania,MRT,"Population, total",SP.POP.TOTL,850377,875586,901690,928742,956794,985907,1016093,1047345,1079580,1112749,1146776,1181659,1217443,1254156,1291857,1330594,1370364,1411139,1453028,1496174,1540644,1586496,1633655,1681859,1730737,1780033,1829678,1879756,1930427,1981902,2034347,2087914,2142645,2198538,2255520,2313630,2372900,2433567,2496217,2561584,2630217,2702405,2778097,2857150,2939246,3024198,3111908,3202512,3296237,3393408,3494200,3598646,3706555,3817497,3930894,4046304,4163532,4282582,4403312,4525698,4649660
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 02/15/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
